LX-2,Hep3B,HepG2,Huh-7,MHCC97H
316.0,503.0,551.0,652.0,699
323.0,459.0,628.0,633.0,729
329.0,618.0,560.0,609.0,617
329.0,587.0,607.0,679.0,667
346.0,518.0,566.0,656.0,657
303.0,563.0,601.0,765.0,688
366.0,490.0,645.0,797.0,606
394.0,649.0,543.0,741.0,622
444.0,514.0,645.0,594.0,595
382.0,437.0,600.0,630.0,555
358.0,537.0,552.0,572.0,712
344.0,457.0,546.0,691.0,704
435.0,575.0,541.0,724.0,593
316.0,608.0,595.0,587.0,668
307.0,478.0,607.0,766.0,647
369.0,453.0,566.0,611.0,551
382.0,460.0,591.0,788.0,741
435.0,460.0,591.0,668.0,678
351.0,512.0,617.0,548.0,555
353.0,519.0,656.0,619.0,613
368.0,598.0,650.0,703.0,630
276.0,540.0,686.0,553.0,565
433.0,604.0,568.0,795.0,648
343.0,543.0,644.0,738.0,585
252.0,573.0,531.0,678.0,781
283.0,471.0,629.0,562.0,596
316.0,583.0,580.0,703.0,630
357.0,587.0,530.0,680.0,650
341.0,510.0,605.0,661.0,686
366.0,581.0,643.0,646.0,628
338.0,460.0,520.0,735.0,544
417.0,485.0,651.0,597.0,604
392.0,449.0,549.0,574.0,631
485.0,428.0,624.0,554.0,740
354.0,504.0,580.0,626.0,551
355.0,562.0,625.0,663.0,688
452.0,533.0,578.0,736.0,571
313.0,545.0,565.0,621.0,660
428.0,607.0,505.0,602.0,529
353.0,603.0,543.0,656.0,744
385.0,495.0,654.0,699.0,655
396.0,513.0,624.0,661.0,681
233.0,511.0,600.0,591.0,675
444.0,565.0,657.0,655.0,782
371.0,419.0,563.0,559.0,676
395.0,493.0,637.0,588.0,536
336.0,529.0,581.0,632.0,713
339.0,476.0,652.0,607.0,732
268.0,539.0,629.0,682.0,621
321.0,638.0,560.0,724.0,655
328.0,606.0,599.0,684.0,673
377.0,506.0,553.0,667.0,619
483.0,462.0,592.0,597.0,586
371.0,549.0,647.0,705.0,598
384.0,489.0,491.0,654.0,701
317.0,529.0,603.0,627.0,718
426.0,572.0,523.0,602.0,547
342.0,487.0,599.0,551.0,714
356.0,569.0,561.0,698.0,632
353.0,494.0,707.0,731.0,679
337.0,486.0,667.0,667.0,606
262.0,647.0,518.0,677.0,618
271.0,518.0,637.0,699.0,621
323.0,483.0,566.0,668.0,677
359.0,543.0,516.0,607.0,620
418.0,541.0,567.0,698.0,613
437.0,508.0,546.0,734.0,634
291.0,455.0,650.0,591.0,610
405.0,456.0,544.0,687.0,620
333.0,469.0,570.0,801.0,573
331.0,651.0,563.0,699.0,702
377.0,522.0,621.0,556.0,614
365.0,518.0,607.0,651.0,535
399.0,478.0,506.0,608.0,666
319.0,509.0,571.0,729.0,738
307.0,491.0,566.0,754.0,541
435.0,617.0,530.0,674.0,679
307.0,526.0,649.0,680.0,741
298.0,513.0,630.0,638.0,789
444.0,560.0,604.0,667.0,632
331.0,563.0,633.0,681.0,670
339.0,510.0,603.0,572.0,568
344.0,563.0,627.0,635.0,716
298.0,551.0,521.0,607.0,566
259.0,478.0,555.0,692.0,716
367.0,490.0,565.0,717.0,677
399.0,531.0,584.0,582.0,564
525.0,513.0,624.0,599.0,552
370.0,560.0,532.0,541.0,664
289.0,644.0,690.0,721.0,600
387.0,604.0,575.0,664.0,536
373.0,498.0,568.0,735.0,561
386.0,501.0,630.0,691.0,679
370.0,437.0,608.0,683.0,737
339.0,554.0,613.0,665.0,556
273.0,517.0,677.0,718.0,651
420.0,448.0,695.0,657.0,561
356.0,428.0,551.0,598.0,561
317.0,497.0,638.0,605.0,682
451.0,579.0,590.0,581.0,763
264.0,549.0,653.0,731.0,638
309.0,661.0,598.0,656.0,748
437.0,455.0,554.0,703.0,566
309.0,496.0,560.0,671.0,576
414.0,444.0,558.0,639.0,588
382.0,474.0,595.0,638.0,671
430.0,523.0,624.0,618.0,602
445.0,416.0,624.0,656.0,600
288.0,479.0,627.0,682.0,594
300.0,485.0,629.0,695.0,630
284.0,439.0,594.0,619.0,553
333.0,467.0,559.0,580.0,616
313.0,523.0,619.0,685.0,675
373.0,608.0,564.0,710.0,676
